kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Badung,Kec. Kuta Selatan,SLB D YPAC CABANG BALI-TKSDSMP,11,5,1,1,1,0,1,0,4,4,5,8,1,1,1,0,4,1,0,0,0,1,1,0,1,2,4,3,0,2,3,1,3,0,3,1,1,2,0,0,1,13,2,34,21,13,11,11,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Badung,Kec. Kuta Selatan,SLB Negeri 1 Badung,32,25,0,0,0,0,0,0,6,0,12,18,9,9,6,3,12,6,5,9,5,2,14,5,13,5,16,4,19,11,14,12,17,10,15,10,15,9,0,0,12,30,18,237,151,86,52,52,1,1,0,1,0,0,1,1,4,4,1,1,1,1,8,8,4,4,1,1,1,1,1,1,2,2,1,1,35,35,,,,,,,,,,,,,,,,,,
Kab. Bangli,Kec. Bangli,SLB NEGERI 1 BANGLI,46,11,1,1,2,0,0,2,9,3,12,17,11,11,12,3,5,6,7,5,1,6,9,5,13,8,10,6,11,5,11,3,3,5,3,2,6,4,0,0,20,29,22,149,91,58,24,24,1,1,1,1,0,0,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Buleleng,Kec. Buleleng,SLB NEGERI 1 BULELENG,27,22,1,1,2,0,1,9,8,2,11,20,2,4,9,6,7,4,8,4,6,2,5,7,9,8,7,6,10,5,4,5,4,1,8,3,8,2,0,0,17,31,6,138,85,53,26,26,1,1,1,1,0,0,1,1,1,1,0,0,1,1,25,26,1,1,0,0,0,0,1,1,0,1,1,1,15,15,,,,,,,,,,,,,,,,,,
Kab. Buleleng,Kec. Buleleng,SLB NEGERI 2 BULELENG,34,16,1,4,2,0,1,2,10,0,11,19,4,8,13,5,13,5,3,5,6,2,11,9,10,6,13,3,15,2,7,1,6,2,7,2,2,4,0,0,18,30,12,152,106,46,17,17,0,0,0,0,0,0,1,1,1,1,1,1,1,1,10,10,1,1,0,0,0,0,1,1,1,1,1,1,10,10,,,,,,,,,,,,,,,,,,
Kab. Gianyar,Kec. Gianyar,SLB NEGERI 1 GIANYAR,54,13,1,1,2,0,0,3,6,2,12,21,11,4,5,7,9,7,16,6,11,9,19,11,19,10,6,14,13,5,12,7,12,8,10,7,13,8,0,0,13,33,15,244,145,99,28,23,1,1,0,0,0,0,1,1,1,1,0,0,1,1,12,12,0,0,0,0,0,0,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Jembrana,Kec. Negara,SLB NEGERI 1 JEMBRANA,40,9,1,0,0,0,2,1,3,0,10,10,6,7,14,4,12,8,13,8,7,1,15,5,17,11,10,6,10,3,7,6,8,5,8,5,4,5,0,0,23,20,13,192,125,67,16,16,1,1,1,1,0,0,1,1,3,3,1,1,1,1,9,9,0,0,0,0,0,0,2,2,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Karangasem,Kec. Karangasem,SLB NEGERI 1 KARANGASEM,50,12,2,2,0,0,0,2,9,0,18,13,7,10,9,3,10,13,4,5,10,7,12,8,15,7,10,7,12,3,5,6,5,6,8,3,6,1,0,0,16,31,17,175,106,69,25,24,2,2,1,1,0,0,1,1,1,1,1,1,1,1,13,13,1,1,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Klungkung,Kec. Klungkung,SLB NEGERI 1 KLUNGKUNG,36,8,1,0,0,0,1,3,6,2,12,9,5,6,6,7,15,3,6,2,2,3,11,5,13,8,9,7,5,4,11,4,3,3,7,4,11,4,0,0,7,21,11,153,99,54,6,6,1,1,1,1,0,0,1,1,1,1,1,1,0,0,10,10,0,0,0,0,0,0,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Tabanan,Kec. Kerambitan,SLB C KEMALA BHAYANGKARI,12,7,0,1,0,0,0,0,0,0,4,5,1,1,6,1,3,4,5,4,3,0,3,1,4,4,11,1,10,5,7,2,8,4,6,3,10,10,0,0,7,9,2,115,76,39,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,2,2,0,0,1,1,1,1,1,1,0,0,6,6,,,,,,,,,,,,,,,,,,
