kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kota Banda Aceh,Kec. Meuraxa,SLB-YBSM,26,11,0,0,0,0,0,1,4,1,2,12,1,2,2,1,4,1,5,1,6,1,7,2,2,2,1,1,11,5,1,2,2,1,1,0,5,2,0,0,17,14,3,74,55,19,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Banda Aceh,Kec. Ulee Kareng,SLB BUKESRA ACEH,41,16,2,1,1,0,0,0,6,0,1,26,3,2,5,2,4,4,10,2,8,3,6,3,10,0,9,7,15,9,6,2,13,4,9,3,5,2,0,0,54,27,5,141,100,41,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kota Langsa,Kec. Langsa Baro,SLB Teladan Kota Langsa,12,8,0,0,0,0,0,0,0,0,1,6,2,1,0,1,1,1,0,0,0,0,0,1,9,3,0,1,7,2,1,5,0,0,0,0,0,0,0,0,34,7,3,34,19,15,10,10,1,1,1,1,0,0,1,1,0,0,1,1,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kota Langsa,Kec. Langsa Baro,SLB TERPADU KOTA LANGSA,7,7,0,0,1,0,0,1,0,0,3,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,3,0,0,7,6,3,16,9,7,10,10,1,1,1,1,0,0,1,1,1,1,0,0,1,1,6,6,1,1,0,0,1,1,1,1,1,1,0,0,12,12,,,,,,,,,,,,,,,,,,
Kota Langsa,Kec. Langsa Kota,SLB GLOBAL SCHOOL LANGSA,24,5,0,0,0,0,0,0,0,0,2,2,1,0,1,1,2,2,2,5,2,1,3,0,2,5,2,0,2,0,4,2,2,1,12,4,0,0,0,0,18,4,1,56,35,21,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kota Langsa,Kec. Langsa Kota,SLB NEGERI KOTA LANGSA,48,37,0,1,2,0,0,0,6,0,12,31,3,9,11,6,8,11,11,6,17,5,5,5,13,11,11,3,11,10,16,4,11,13,12,5,11,9,0,0,37,43,12,233,143,90,13,13,1,1,0,0,0,0,1,1,1,1,0,0,1,1,10,10,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Lhokseumawe,Kec. Banda Sakti,SLB KOTA LHOKSEUMAWE,13,11,0,0,1,0,0,0,0,0,0,10,0,8,5,1,5,0,4,2,2,1,3,0,2,1,1,2,2,0,3,1,1,2,2,3,1,1,0,0,26,10,8,48,33,15,13,13,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Lhokseumawe,Kec. Muara Dua,SLB CINTA MANDIRI,20,17,0,1,2,0,0,14,13,2,1,16,1,5,9,5,7,2,5,0,6,1,2,4,1,2,6,1,1,2,3,4,5,1,3,0,4,1,0,0,34,17,6,84,59,25,15,15,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Lhokseumawe,Kec. Muara Dua,SLB NEGERI ANEUK NANGGROE,37,19,2,0,2,0,0,2,8,0,6,25,4,8,10,2,6,5,8,8,7,5,4,9,9,4,9,6,7,4,11,5,6,10,5,2,2,4,0,0,22,31,12,151,87,64,16,16,1,1,1,1,0,0,1,1,2,2,0,0,1,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Sabang,Kec. Sukajaya,SLB Negeri 1 Sabang,8,8,0,0,0,0,0,1,4,0,1,9,2,1,3,1,0,3,2,2,5,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,23,15,8,9,9,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kota Sabang,Kec. Sukakarya,SLB Negeri 2 Sabang,9,9,1,1,1,0,1,1,4,0,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,6,1,2,3,3,4,4,0,0,0,6,9,5,30,22,8,8,8,1,1,0,0,1,1,2,2,1,1,1,1,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Subulussalam,Kec. Penanggalan,SLB Swasta Arroyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kota Subulussalam,Kec. Simpang Kiri,SLB Negeri Syech Abdurrauf,15,4,0,1,0,0,0,2,4,0,3,6,3,3,7,7,2,3,6,0,0,0,3,3,2,1,2,1,5,1,4,0,0,0,0,0,0,0,0,0,40,9,6,47,31,16,17,17,1,1,0,0,0,0,1,1,1,1,2,2,0,0,5,5,0,0,0,0,0,0,1,1,1,1,0,0,13,13,,,,,,,,,,,,,,,,,,
