kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Balangan,Kec. Paringin,SLBN BALANGAN,16,13,8,7,5,0,6,5,6,4,5,12,2,2,3,0,8,3,4,2,6,1,2,4,8,3,3,4,4,3,3,3,3,1,1,3,3,3,0,0,37,17,4,78,48,30,8,8,1,1,0,0,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banjar,Kec. Martapura,SLB A Negeri 3 Martapura,16,13,0,0,1,0,0,1,4,0,13,6,3,1,0,1,0,1,1,2,0,1,2,1,2,2,2,0,2,2,0,2,1,1,1,3,1,2,0,0,22,19,4,30,12,18,15,15,1,1,2,2,0,0,1,1,3,3,2,2,1,1,6,6,1,1,0,0,1,1,0,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banjar,Kec. Martapura,SLB Negeri 1 Martapura,22,22,0,0,1,0,2,3,8,2,12,15,3,4,13,10,4,5,8,3,2,2,5,3,4,6,5,4,2,3,2,3,0,6,6,3,4,3,0,0,15,27,7,106,55,51,21,21,1,1,0,0,0,0,2,2,1,1,0,0,1,1,3,2,1,1,0,0,1,1,0,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banjar,Kec. Martapura,SLB Negeri 2 Martapura,56,42,1,0,2,0,0,2,8,0,20,29,5,5,16,7,19,10,15,4,9,10,18,6,27,11,20,6,25,12,10,8,19,3,11,5,7,3,0,0,58,49,10,281,196,85,38,38,1,1,0,0,1,1,0,0,0,0,1,1,0,0,15,7,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Barito Kuala,Kec. Marabahan,SLBN MARABAHAN,24,15,1,1,0,0,0,0,4,0,5,14,4,4,6,2,5,4,4,3,4,1,0,4,5,4,4,4,3,2,2,0,1,1,3,2,1,3,0,0,32,19,8,68,38,30,13,13,1,1,0,0,1,1,1,1,1,1,1,1,1,1,8,8,1,1,0,0,0,0,1,1,0,0,0,0,10,9,,,,,,,,,,,,,,,,,,
Kab. Hulu Sungai Selatan,Kec. Daha Selatan,SLBN Daha Selatan,9,4,0,0,0,0,1,1,1,0,1,4,5,1,9,2,3,0,3,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,5,6,25,18,7,4,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,1,0,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Hulu Sungai Selatan,Kec. Kandangan,SLBN KANDANGAN,51,22,1,1,0,0,0,2,3,0,11,19,5,3,11,5,23,8,8,4,9,9,6,6,9,12,17,3,13,5,12,4,5,1,11,6,5,5,0,0,75,30,8,197,129,68,20,19,1,1,0,0,0,0,1,1,2,2,1,1,1,1,11,11,0,0,0,0,0,0,1,1,0,0,0,0,5,3,,,,,,,,,,,,,,,,,,
Kab. Hulu Sungai Tengah,Kec. Barabai,SLB Negeri Barabai,44,33,0,1,1,0,11,1,8,5,17,21,3,1,10,2,12,4,7,3,8,4,8,5,6,7,7,2,7,2,2,6,2,9,5,4,4,4,0,0,48,38,4,130,78,52,17,18,1,1,0,0,1,1,1,1,1,1,0,0,1,1,9,9,1,1,0,0,1,1,1,1,0,0,0,0,17,14,,,,,,,,,,,,,,,,,,
Kab. Hulu Sungai Utara,Kec. Amuntai Tengah,SLB NEGERI 1 AMUNTAI,15,15,0,0,0,0,0,0,4,0,5,12,5,1,6,2,6,2,2,0,0,4,6,2,1,2,1,1,2,0,2,4,5,1,3,0,2,4,0,0,30,17,6,58,36,22,7,8,1,1,0,0,0,0,1,1,1,1,1,1,0,1,3,7,1,2,0,0,0,0,2,1,0,0,0,0,14,16,,,,,,,,,,,,,,,,,,
Kab. Hulu Sungai Utara,Kec. Amuntai Tengah,SLBN 2 AMUNTAI,20,12,8,8,4,0,8,8,4,8,8,15,1,5,4,2,3,1,1,0,1,3,5,2,8,2,4,2,3,1,1,2,3,0,1,1,3,1,0,0,33,23,6,54,37,17,20,19,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,4,0,0,0,0,0,0,1,1,0,0,0,0,13,14,,,,,,,,,,,,,,,,,,
