kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Lebak,Kec. Rangkasbitung,SKH PADESAN,25,8,0,0,0,0,0,0,0,0,3,5,3,0,0,2,4,1,0,1,3,0,2,3,2,0,4,1,5,2,1,2,2,2,1,1,0,2,0,0,12,8,3,41,24,17,9.0,9,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,4.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Rangkasbitung,SKH PGRI RANGKASBITUNG,17,6,0,0,0,0,0,0,0,0,3,2,3,3,3,0,1,2,1,0,1,0,5,3,3,1,4,2,6,2,3,3,1,3,1,4,1,3,0,0,10,5,6,53,30,23,5.0,5,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,5.0,5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Wanasalam,SKH HARAPAN MULYA,12,2,1,1,1,0,1,2,1,1,0,3,1,2,1,0,3,1,0,1,0,0,1,1,3,0,0,2,1,0,1,2,1,0,1,2,0,0,0,0,8,3,3,21,12,9,7.0,7,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Angsana,SKh RISMURI JAYA ABADI,2,2,0,0,0,0,0,0,0,0,1,0,1,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,19,15,4,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Bojong,SKH ATH-THOHARIYYAH 2,13,8,0,1,0,0,1,0,5,0,0,7,1,2,0,1,8,2,1,1,2,1,2,0,2,1,2,1,5,0,0,0,0,0,1,2,0,2,0,0,10,7,3,34,23,11,4.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cadasari,Skh Sofiana Arrauf,11,6,0,0,0,0,0,0,0,0,2,2,3,5,2,0,2,1,3,2,4,9,0,0,0,0,0,0,2,1,2,0,2,5,0,0,0,0,0,0,13,4,8,42,20,22,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Carita,SKH GYTHA KYARA 02,18,6,0,0,0,0,0,0,0,0,0,6,1,1,3,2,0,0,2,2,4,2,1,0,0,0,4,0,2,2,2,1,3,3,1,0,3,1,0,0,9,6,2,38,25,13,3.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cikedal,SKH AL-KARIM,23,8,0,0,0,0,0,0,0,0,2,5,1,0,0,1,2,2,0,0,1,1,2,2,1,3,2,0,1,0,1,4,2,1,2,6,4,5,0,0,9,7,1,43,18,25,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,3,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cikeusik,Sekolah Khusus Kartika,8,3,0,1,0,0,0,0,1,0,3,2,3,1,10,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,4,21,13,8,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cimanuk,SKH FARKHAN AS SALMAN,11,6,0,1,0,0,0,0,0,0,1,4,3,5,4,2,0,3,2,1,5,1,4,1,5,1,2,1,3,1,5,1,0,0,3,1,3,1,0,0,8,5,8,50,36,14,3.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,3.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Jiput,SKH JIPUT MANDIRI,20,8,0,0,0,0,0,0,0,0,1,7,0,0,2,0,1,0,5,1,4,1,2,2,1,1,3,2,1,3,1,0,5,1,1,2,3,6,0,0,7,8,0,48,29,19,3.0,3,1.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Karang Tanjung,Skh Jannatul Aulad,12,8,0,0,1,0,2,0,0,0,0,8,0,3,2,1,6,1,14,7,0,0,0,1,6,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,8,3,49,30,19,5.0,5,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Labuan,SKh Alghisafa Labuan,20,7,0,0,0,0,0,0,2,0,1,8,4,2,5,2,6,4,6,9,2,1,9,7,1,1,0,1,1,1,3,1,2,0,0,1,0,0,0,0,12,9,6,64,35,29,5.0,1,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,4,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Labuan,SKH BAHARI,12,5,0,0,0,0,0,0,0,0,1,4,0,5,1,2,2,1,2,5,5,0,4,0,7,2,1,3,3,0,2,1,4,2,0,2,2,0,0,0,5,5,5,51,33,18,12.0,25,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,1,4.0,4,0.0,1,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Majasari,SKH NEGERI 01 PEMBINA PANDEGLANG,77,56,0,0,0,0,0,1,2,2,27,32,16,5,6,6,11,3,4,4,5,9,7,4,7,4,6,3,12,6,3,3,3,6,11,6,10,6,0,0,45,59,21,145,85,60,14.0,14,3.0,4,0.0,0,0.0,0,1.0,0,2.0,1,1.0,1,0.0,0,15.0,15,0.0,0,0.0,0,1.0,1,1.0,0,1.0,1,0.0,0,53.0,52,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Mandalawangi,SKH GALUH KINANTI,10,5,0,0,0,0,0,0,1,0,0,4,3,2,1,0,2,2,0,0,1,5,3,1,0,2,4,2,2,3,3,4,0,0,0,0,3,2,0,0,5,4,5,40,19,21,11.0,11,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,6.0,6,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Menes,SKH MATHLA`UL ANWAR,13,10,1,2,0,0,2,0,2,0,5,6,3,0,2,0,2,2,1,3,2,4,5,4,4,2,3,4,4,3,1,2,5,2,2,1,3,2,0,0,16,11,3,64,35,29,15.0,15,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Munjul,SKh Arisma,19,5,0,0,0,0,0,0,2,0,2,1,4,1,0,1,4,0,8,4,7,1,8,2,1,7,0,0,0,1,2,0,3,2,2,1,0,0,0,0,31,3,5,55,36,19,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,4,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Pagelaran,SKH GYTHA KYARA  03,19,6,0,0,0,0,0,0,0,0,2,3,1,3,0,0,1,2,0,0,1,0,2,1,0,4,1,2,3,1,0,2,2,0,1,1,1,1,0,0,8,5,4,26,12,14,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Pandeglang,SKH KORPRI,16,14,0,0,1,0,0,0,0,0,4,9,1,0,5,1,2,1,3,4,4,1,4,0,2,2,8,2,3,1,5,4,2,2,4,2,2,4,0,0,31,13,1,73,49,24,14.0,14,0.0,0,1.0,1,0.0,0,1.0,1,1.0,1,1.0,1,1.0,0,3.0,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,6,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Panimbang,SKH DARUL BAYAN,20,5,0,0,0,0,0,0,2,0,5,1,0,1,0,2,0,1,2,1,2,0,1,4,1,3,0,2,4,0,1,1,1,0,6,2,2,3,0,0,14,6,1,39,20,19,3.0,3,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Patia,SKH ADRIKA INSAN MANDIRI,22,2,1,0,0,0,0,1,3,0,2,3,1,0,0,1,2,2,2,1,3,2,1,3,3,0,1,3,5,3,1,0,2,1,0,0,1,1,0,0,12,5,1,38,21,17,2.0,2,0.0,0,0.0,0,0.0,0,2.0,2,1.0,1,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Picung,SKH PERSADA PICUNG,13,4,4,4,3,0,4,4,7,1,2,2,1,0,0,3,1,2,0,0,2,0,8,6,0,0,0,1,3,1,1,0,3,1,2,1,1,1,0,0,8,4,1,37,21,16,3.0,3,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,4.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Pulosari,SKH MUSTHOFA BINAAN UMAT PANDEGLANG,9,8,0,0,0,0,0,0,1,0,4,5,1,2,1,0,0,1,0,0,0,0,1,0,1,1,3,0,1,1,0,0,2,0,4,2,5,2,0,0,9,9,3,25,18,7,3.0,2,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,3,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Saketi,SKH ATH THOHARIYYAH 1,15,8,0,0,0,0,0,0,1,0,4,3,1,3,1,0,3,1,1,0,1,0,1,4,2,2,4,1,3,1,3,0,2,0,0,2,3,1,0,0,11,7,4,36,24,12,6.0,6,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Sindangresmi,SKH GYTHA KYARA 01,14,5,0,0,0,0,0,0,0,0,1,3,1,2,2,0,2,0,0,0,0,0,1,1,5,1,0,1,0,2,0,1,0,0,3,0,3,3,0,0,16,4,3,26,16,10,2.0,2,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Sobang,SKh Ahsan Firdaus,3,2,0,0,0,0,0,0,0,0,0,1,1,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,11,8,3,2.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Serang,Kec. Bojonegara,SKh Fauzan,7,3,0,0,0,0,0,0,1,0,1,3,0,1,4,1,2,0,8,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,33,4,1,21,16,5,1.0,1,0.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0,0,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,6,,,,,,,,,,,,,,,,,,
Kab. Serang,Kec. Cikeusal,SKH SUTMAEMUN,12,5,0,0,0,0,0,0,0,0,0,4,3,2,0,1,0,2,1,0,3,2,2,1,3,0,4,1,4,1,1,0,0,0,5,0,0,1,0,0,25,4,5,33,23,10,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Serang,Kec. Ciomas,SKH Nur Rabbani,10,3,0,0,0,0,1,0,3,0,1,2,2,2,1,4,4,2,4,0,1,3,0,0,4,1,0,0,6,3,0,3,0,0,1,2,0,2,0,0,7,3,4,42,21,21,2.0,2,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Serang,Kec. Kragilan,SKH BINA CITRA ANAK,23,18,0,0,0,0,0,0,0,0,2,18,0,1,6,3,11,9,11,6,9,3,6,2,18,7,7,4,17,6,11,4,11,3,5,4,8,3,0,0,29,20,1,183,126,57,6.0,3,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Serang,Kec. Kragilan,SKH GLOBAL INSANI MADANI,10,4,0,0,1,0,0,0,1,0,1,2,1,2,1,0,0,1,1,1,1,0,0,2,0,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,6,3,3,17,9,8,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Serang,Kec. Kramatwatu,SEKOLAH KHUSUS PELITA INSANI,25,6,0,0,0,0,0,0,3,0,1,6,0,1,0,1,6,2,1,0,4,3,4,0,3,2,1,0,2,3,6,2,1,0,5,3,3,2,0,0,22,7,1,55,37,18,3.0,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Balaraja,SKH NEGERI 01 KABUPATEN TANGERANG,72,64,0,0,1,0,0,2,0,2,16,53,9,4,8,7,21,14,13,7,22,19,38,23,9,12,11,13,9,15,15,9,15,5,9,7,8,10,0,0,30,69,13,319,178,141,22.0,22,1.0,1,1.0,1,0.0,0,1.0,1,0.0,1,1.0,1,1.0,1,8.0,8,2.0,2,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,27.0,27,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Cikupa,SKH SYAHIDA HARAPAN BUNDA,37,18,0,0,0,0,0,1,4,0,3,15,2,0,12,9,8,6,12,7,7,3,4,3,5,4,9,8,10,3,7,5,6,2,11,4,13,5,0,0,26,18,2,167,108,59,9.0,9,1.0,1,1.0,1,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Cisauk,SKh Bhakti Putra,10,6,0,0,0,0,0,0,0,0,1,5,1,4,0,0,1,0,0,0,2,2,8,5,0,0,1,2,5,3,3,0,2,0,0,0,0,1,0,0,5,6,5,35,22,13,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Cisoka,SKH MUTIARA HIKMATULHUDA,14,6,1,0,0,0,1,1,4,0,3,4,2,2,6,2,9,4,9,1,5,1,1,2,1,1,1,2,1,1,4,0,5,0,1,0,1,0,0,0,16,7,4,61,46,15,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Jambe,SKH Bina Insan Mandiri,9,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,0,0,0,3,0,1,1,1,4,0,7,2,3,1,0,0,2,0,0,0,0,0,4,3,1,32,24,8,3.0,3,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Jayanti,SKh PELITA AL KAROMAH,23,6,0,0,0,0,0,0,0,0,1,4,0,5,3,0,2,2,3,4,5,1,5,6,1,1,2,2,0,0,3,0,5,0,0,1,0,0,0,0,11,5,5,48,31,17,5.0,5,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Tangerang,Kec. Kelapa Dua,SKH MENARA KASIH,16,16,0,0,0,0,0,0,0,0,1,15,0,1,4,0,1,1,5,0,4,1,6,1,5,1,3,1,5,3,4,0,3,0,1,1,3,3,0,0,26,16,1,59,47,12,17.0,17,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,2.0,2,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
