kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Aceh Barat,Kec. Johan Pahlawan,SLB NEGERI MEULABOH,29,14,0,1,1,0,0,1,1,0,8,14,3,6,9,2,6,3,11,3,10,6,8,3,6,2,4,5,0,5,5,7,5,3,5,4,4,2,0,0,11,22,9,118,73,45,8,8,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Aceh Barat,Kec. Panton Reu,SLB Nadiatul Khairi,12,3,4,4,3,0,3,2,4,4,2,2,2,5,0,1,0,1,1,1,0,0,1,0,1,2,1,0,2,1,1,1,0,0,1,0,0,0,0,0,8,4,7,15,8,7,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Aceh Barat,Kec. Samatiga,SLB Rahmatillah,23,6,1,2,5,0,7,2,3,6,2,9,4,6,2,4,0,1,2,1,2,1,3,1,2,3,4,6,5,1,2,2,2,0,2,2,2,0,0,0,21,11,10,50,28,22,9,14,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,,,,,,,,,,,,,,,,,
Kab. Aceh Barat Daya,Kec. Susoh,SLB NEGERI Aceh Barat Daya,20,11,1,0,2,0,0,1,2,0,4,14,2,3,10,3,8,1,8,6,8,0,9,6,4,5,11,2,8,5,8,4,4,2,6,3,4,2,0,0,13,18,5,127,88,39,9,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,,,,,,,,,,,,,,,,,
Kab. Aceh Besar,Kec. Ingin Jaya,SLB Negeri Pembina Provinsi Aceh,49,34,3,1,3,0,0,1,2,0,11,35,5,7,10,4,10,5,10,3,9,7,4,4,5,1,12,6,6,8,9,7,4,4,5,7,7,6,0,0,10,46,12,154,92,62,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0,0,0,1,1,0,0,0,0,14,14,,,,,,,,,,,,,,,,,,
Kab. Aceh Besar,Kec. Kota Jantho,SLB NEGERI KOTA JANTHO,29,20,0,0,1,0,0,2,2,0,8,23,4,4,0,1,2,0,4,0,1,3,1,3,7,1,5,2,4,7,5,6,3,3,3,5,2,1,0,0,7,31,8,70,37,33,11,11,1,1,0,0,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Aceh Jaya,Kec. Krueng Sabee,SLB Negeri Aceh Jaya,31,4,1,1,2,0,0,1,0,0,2,9,1,5,1,2,3,0,2,1,5,0,9,5,2,4,1,1,4,6,2,4,6,5,2,4,2,1,0,0,10,11,6,72,39,33,12,12,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,2,2,1,1,11,11,,,,,,,,,,,,,,,,,,
Kab. Aceh Selatan,Kec. Kluet Selatan,SLB Azzahra,18,0,0,0,0,0,1,0,1,0,0,6,3,4,1,0,1,1,4,1,3,1,3,2,1,0,4,1,1,4,2,1,1,2,1,1,1,0,0,0,6,6,7,37,23,14,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Aceh Selatan,Kec. Pasie Raja,SLB Negeri Aceh Selatan,18,18,0,0,1,0,0,1,5,2,5,18,6,6,3,1,3,2,3,1,5,3,3,5,1,1,1,2,3,1,1,2,2,0,0,3,0,0,0,0,9,23,12,46,25,21,14,14,1,1,0,0,0,0,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,1,1,1,1,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Aceh Singkil,Kec. Singkil,SLB Negeri Al-Fansyuri,18,6,2,1,1,0,0,1,1,1,6,10,3,4,3,3,3,2,2,1,2,2,4,3,3,3,6,4,7,3,3,5,1,3,0,1,3,0,0,0,10,16,7,67,37,30,10,10,1,1,1,1,0,0,1,1,2,2,0,0,2,2,4,4,1,1,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
