kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bintan,Kec. Bintan Timur,SLB KARYA MANDIRI KIJANG,11,5,0,0,0,0,0,0,0,0,0,4,1,0,1,2,2,1,0,0,1,2,3,0,1,3,0,0,2,1,4,0,0,0,0,0,1,1,0,0,6,4,1,26,15,11,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Bintan,Kec. Bintan Timur,SLB NEGERI KIJANG,7,4,1,0,1,0,0,0,1,0,2,4,1,1,1,0,0,3,0,3,0,0,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,26,6,2,15,7,8,12,12,1,1,0,0,0,0,1,1,2,2,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,11,13,,,,,,,,,,,,,,,,,,
Kab. Bintan,Kec. Bintan Utara,SKH CITRA NUGRAHA,6,3,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,0,48,4,2,12,11,1,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Bintan,Kec. Bintan Utara,SLB NEGERI BINTAN,38,16,2,2,1,0,0,0,2,0,2,12,2,3,1,1,3,3,8,4,5,2,4,4,4,1,8,4,5,1,5,5,1,5,3,0,2,0,0,0,40,14,5,82,51,31,13,13,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,2,2,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Belat,SLB AMANAH BUNDA,8,2,3,3,1,0,3,3,4,3,1,2,0,2,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,11,3,2,10,7,3,9,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Karimun,SLB NEGERI KARIMUN,29,21,1,0,1,0,0,20,2,2,5,20,5,3,3,13,5,2,6,2,12,8,9,3,7,6,9,4,4,6,5,8,5,2,12,5,2,4,0,0,31,25,8,145,79,66,18,18,1,1,1,1,0,0,1,1,1,1,0,0,1,1,10,7,2,2,0,0,0,0,1,1,2,2,0,0,17,14,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Karimun,SLB SEHATI KARIMUN,14,11,0,0,0,0,0,0,0,0,0,11,3,1,2,0,1,0,1,0,2,0,1,0,2,1,7,0,2,1,3,1,2,1,4,1,0,1,0,0,6,11,4,37,31,6,8,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Karimun,SLB YPBB KARIMUN,18,18,0,0,0,0,0,1,0,3,3,18,5,3,8,5,13,6,5,5,3,4,3,2,7,4,3,2,3,8,1,5,2,6,3,4,5,1,0,0,32,21,8,113,60,53,8,8,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,1,0,0,0,0,1,1,1,1,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Kundur,SLB NEGERI KUNDUR,20,8,4,4,1,0,4,1,1,1,3,9,3,3,2,2,6,4,2,1,4,2,4,1,2,0,3,2,0,2,4,0,2,7,6,0,2,1,0,0,48,12,6,59,37,22,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Kepulauan Anambas,Kec. Siantan Selatan,SLB NEGERI ANAMBAS,6,1,1,1,1,0,1,1,0,0,1,4,4,4,3,3,0,1,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,17,5,8,15,9,6,6,6,1,1,0,0,0,0,1,1,1,1,1,1,1,1,9,9,2,2,0,0,0,0,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,
Kab. Lingga,Kec. Singkep,SLB NEGERI LINGGA,25,8,1,3,6,0,3,3,5,2,3,11,3,2,2,2,4,1,2,2,4,1,5,3,4,1,3,1,1,2,0,0,4,0,0,0,1,0,0,0,20,14,5,43,30,13,6,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
