kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bangkalan,Kec. Bangkalan,SLB SAMUDRA LAVENDER,13,13,0,0,0,0,0,0,0,0,1,14,2,1,10,1,7,8,10,5,3,3,3,0,7,5,4,3,10,4,1,1,2,2,3,2,7,3,0,0,34,15,3,108,69,39,8,8,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Bangkalan,Kec. Kamal,SLB PGRI,11,7,0,0,0,0,0,0,0,0,0,6,0,1,1,3,1,3,0,1,1,3,1,0,3,0,2,3,0,0,0,2,4,2,1,1,3,1,0,0,50,6,1,36,17,19,7,7,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Bangkalan,Kec. Socah,SLB NEGERI KELEYAN BANGKALAN,32,23,0,0,0,0,0,0,0,0,8,14,3,1,7,0,6,3,3,0,1,1,2,1,4,3,3,2,2,0,1,1,2,0,3,1,0,0,0,0,23,22,4,50,36,14,6,6,1,1,0,0,0,0,1,1,1,1,0,0,1,1,5,5,1,1,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Bangkalan,Kec. Tragah,SLB SAMUDRA TERRA ATHENA,6,5,1,0,0,0,0,0,0,0,2,3,2,2,0,0,3,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,49,5,4,13,10,3,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Bangorejo,SLB PGRI BANGOREJO,12,8,0,0,0,0,0,0,0,0,3,6,1,0,3,0,2,0,3,0,6,2,1,4,4,4,3,0,6,3,3,4,4,1,4,6,3,0,0,0,17,9,1,66,42,24,13,13,1,1,0,0,0,0,2,2,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SDLB PGRI BANYUWANGI,6,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,12,7,5,8,8,1,1,0,0,0,0,2,2,2,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SDLBS ABK AUTISME ANMOERTY,6,5,0,0,0,0,0,0,0,0,0,5,1,3,6,0,4,1,3,1,2,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,4,24,19,5,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SLB MATAHATI,10,8,0,0,4,0,0,0,0,0,1,5,0,2,4,2,2,0,1,0,2,0,0,2,2,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,9,6,2,26,18,8,3,8,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SMALB PGRI BANYUWANGI,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,4,6,0,0,11,1,0,16,9,7,4,4,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SMPLB PGRI BANYUWANGI,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,10,2,0,6,5,1,3,3,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
