kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Banggai,Kec. Bualemo,SLB Sang Surya Bersinar,10,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,0,2,1,4,5,2,1,0,1,2,2,1,0,0,0,0,0,0,0,0,15,0,4,25,11,14,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Luwuk Timur,SLB Mian Nu Lipuknyo,7,3,0,0,0,0,0,0,0,0,1,3,2,2,0,0,1,2,2,0,1,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,4,4,13,7,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Luwuk Utara,SLB N LUWUK,17,10,0,1,0,0,0,1,3,0,3,12,3,4,5,0,5,0,4,2,4,1,2,3,9,4,2,3,5,3,4,3,1,1,6,2,0,3,0,0,35,15,7,72,47,25,17,17,1,1,0,0,0,0,1,1,1,1,1,1,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Simpang Raya,SLB PADAMU NEGERI,12,7,0,0,0,0,0,0,9,0,2,3,0,4,2,0,1,0,2,0,0,1,3,1,3,0,2,1,5,0,6,1,4,2,2,5,2,1,0,0,19,5,4,44,32,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Toili,SLB NEGERI TOILI,21,11,0,0,0,0,0,1,0,0,1,11,3,4,1,2,0,0,3,3,1,2,1,5,4,5,1,4,0,0,2,0,0,0,0,0,0,0,0,0,13,12,7,34,13,21,21,21,0,0,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Banggai Kepulauan,Kec. Tinangkung,SLB NEGERI SALAKAN,12,6,0,0,0,0,1,1,2,0,2,5,2,3,3,2,1,1,1,0,1,0,0,1,2,0,3,2,4,1,3,1,7,5,8,8,3,1,0,0,29,7,5,58,36,22,11,11,1,1,0,0,0,0,0,0,1,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Banggai Laut,KEC. BANGGAI TENGAH,SLB NEGERI ADEAN,11,4,1,1,1,0,0,0,4,0,0,7,2,3,2,0,1,0,0,0,2,1,1,0,1,2,2,1,1,0,3,2,2,1,1,3,2,0,0,0,25,7,5,28,18,10,6,6,2,2,0,0,0,0,1,1,1,1,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Buol,Kec. Biau,SLB NEGERI BUOL,17,2,0,1,1,0,1,0,2,0,2,6,1,9,2,0,2,2,1,0,6,0,7,1,1,2,7,3,3,0,4,0,3,2,1,0,2,0,0,0,29,8,10,49,39,10,18,18,2,2,1,1,0,0,1,1,1,1,0,0,0,0,15,15,1,1,0,0,0,0,3,3,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Buol,Kec. Paleleh,SLB NEGERI PALELEH,5,0,2,2,1,0,2,2,2,1,0,3,1,1,0,1,0,0,1,1,0,0,5,1,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,20,3,2,21,16,5,9,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Donggala,Kec. Sindue,SLB NEGERI DALAKA,20,17,0,3,0,0,0,2,3,0,9,12,3,2,2,2,1,0,1,4,2,2,2,0,2,2,3,1,3,1,3,3,4,1,1,1,3,5,0,0,17,21,5,49,27,22,12,12,1,1,1,1,0,0,2,2,1,1,0,0,1,1,9,9,0,0,0,0,0,0,1,1,0,0,0,0,12,12,,,,,,,,,,,,,,,,,,
