kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Batanghari,Kec. Muara Bulian,SLBN MUARA BULIAN,37,21,0,0,0,0,0,9,9,0,4,22,3,5,8,2,13,9,9,4,10,2,8,6,7,3,16,5,11,9,11,4,10,2,7,8,2,5,0,0,31,26,8,171,112,59,15,15,1,1,1,1,0,0,1,1,1,1,1,1,1,1,13,13,2,2,0,0,0,0,1,1,0,0,0,0,13,15,,,,,,,,,,,,,,,,,,
Kab. Bungo,Kec. Rimbo Tengah,SLBN MUARA BUNGO,35,20,1,0,1,0,0,2,6,0,9,18,7,6,13,3,15,9,5,8,9,4,12,8,8,4,14,7,17,10,8,4,5,2,7,8,3,5,0,0,24,27,13,188,116,72,27,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,0,0,1,1,1,1,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Kerinci,Kec. Air Hangat Timur,SLB Al-Muiz,14,1,13,13,8,0,13,12,13,11,3,12,0,3,9,4,7,2,6,3,5,3,6,4,6,3,19,9,6,8,5,6,5,2,8,1,4,1,0,0,32,15,3,132,86,46,14,14,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,2,1,1,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Kerinci,Kec. Gunung Kerinci,SLBN Ujung Ladang Kerinci,9,9,1,1,0,0,0,2,2,0,1,8,0,1,8,7,2,0,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,9,1,26,14,12,8,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,,,,,,,,,,,,,,,,,,
Kab. Merangin,Kec. Bangko,SLB NEGERI MERANGIN,15,15,1,0,0,0,0,1,4,0,3,18,4,0,6,3,2,1,3,3,4,0,5,6,3,4,7,2,10,7,1,3,3,2,7,3,5,0,0,0,32,21,4,95,60,35,18,16,1,1,0,0,1,1,1,1,1,1,0,0,1,1,19,8,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Merangin,Kec. Pamenang Barat,SLBN PINANG MERAH MERANGIN,13,6,0,0,0,0,0,1,1,1,3,7,2,2,13,4,10,8,0,0,2,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,33,10,4,42,26,16,11,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Muaro Jambi,Kec. Jambi Luar Kota,SLB IT Al Muiz,4,0,4,4,1,0,4,3,4,3,0,4,1,1,4,1,4,1,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,28,4,2,19,13,6,6,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Muaro Jambi,Kec. Sekernan,SLB MUARO JAMBI,53,20,0,0,0,0,0,0,0,0,3,18,4,3,6,1,7,6,3,5,1,0,8,6,6,2,13,1,10,6,5,0,5,2,5,6,7,3,0,0,33,21,7,114,76,38,13,13,1,1,0,0,0,0,1,1,1,1,1,1,1,0,3,4,1,0,0,0,0,0,0,1,0,0,0,0,25,1,,,,,,,,,,,,,,,,,,
Kab. Muaro Jambi,Kec. Sungai Bahar,SLBN SUNGAI BAHAR,5,5,0,0,0,0,0,0,0,0,1,4,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,18,10,8,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Sarolangun,Kec. Sarolangun,SLBN SAROLANGUN,37,12,0,1,1,0,0,2,2,0,6,11,3,2,8,1,3,1,2,4,2,3,9,6,2,3,4,2,3,2,6,5,4,7,2,2,2,3,0,0,82,17,5,86,47,39,14,14,1,1,1,1,0,0,1,1,0,1,1,1,1,1,21,21,1,1,1,1,0,0,1,1,1,0,0,0,24,24,,,,,,,,,,,,,,,,,,
