kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Musi Rawas Utara,Kec. Rawas Ulu,SLBN MURATARA,6,5,1,1,1,0,1,1,2,1,3,5,2,1,0,1,11,3,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,3,38,24,14,7,7,0,1,0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,8,9,,,,,,,,,,,,,,,,,,
Kab. Ogan Ilir,Kec. Indralaya Utara,SLB NEGERI OGAN ILIR,21,8,1,1,1,0,0,1,2,1,5,8,2,0,3,2,2,1,2,0,2,2,8,3,4,4,5,2,4,1,5,1,3,2,1,1,2,3,0,0,17,13,2,63,41,22,9,6,1,1,0,0,0,0,1,1,0,1,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,0,22,16,,,,,,,,,,,,,,,,,,
Kab. Ogan Komering Ilir,Kec. Kota Kayu Agung,SLB NEGERI KAYUAGUNG,12,4,0,3,0,0,0,1,2,0,1,8,1,0,5,1,3,3,2,2,5,3,6,7,4,1,4,4,3,2,4,2,4,0,4,1,3,2,0,0,19,9,1,75,47,28,11,11,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kab. Ogan Komering Ulu,Kec. Baturaja Timur,SLB NEGERI BATURAJA,12,10,0,0,0,0,0,0,0,0,5,15,5,1,7,4,7,2,1,0,1,1,7,2,7,1,6,3,4,4,6,6,6,4,10,5,4,1,0,0,3,20,6,99,66,33,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,5,5,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Ogan Komering Ulu Selatan,Kec. Muaradua,SLB SERASAN SEANDANAN,14,5,6,6,6,0,6,6,6,5,0,5,0,1,5,1,3,1,2,2,1,1,7,3,8,2,4,1,5,5,3,1,4,1,1,3,1,1,0,0,5,5,1,70,48,22,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Ogan Komering Ulu Timur,Kec. Martapura,SLBN MARTAPURA,21,12,1,0,0,0,0,6,7,0,5,9,3,3,5,4,8,6,1,2,6,3,6,3,1,6,7,6,5,5,1,2,6,2,3,4,1,3,0,0,15,14,6,96,50,46,11,11,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Penukal Abab Lematang Ilir,KEC. ABAB,SLB Nurul Ilmi,7,7,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,3,3,3,0,0,0,0,1,0,10,4,0,0,2,0,0,0,0,0,1,0,0,0,3,4,0,31,21,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Penukal Abab Lematang Ilir,KEC. TALANG UBI,SLB NEGERI PALI,13,5,0,0,0,0,1,0,2,0,3,8,1,4,4,0,0,0,2,3,0,0,10,10,2,3,4,3,1,4,4,4,1,0,0,0,0,0,0,0,21,11,5,55,28,27,17,9,0,1,0,1,0,0,1,1,1,1,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,13,15,,,,,,,,,,,,,,,,,,
Kota Lubuk Linggau,Kec. Lubuk Linggau Timur I,SLB BINA SEJAHTERA MANDIRI,22,6,0,0,1,0,0,1,1,0,2,4,1,6,0,4,3,2,2,0,5,1,4,5,3,3,2,5,3,0,6,2,4,1,0,1,2,2,0,0,16,6,7,60,34,26,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Lubuk Linggau,Kec. Lubuk Linggau Utara I,SLB NEGERI LUBUKLINGGAU,21,16,0,0,0,0,0,0,2,0,2,15,5,3,5,3,3,0,2,2,4,2,7,4,11,5,8,3,11,4,7,2,3,2,8,2,9,1,0,0,4,17,8,108,78,30,13,13,2,2,1,1,0,0,2,2,1,1,1,1,2,2,1,1,2,2,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kota Pagar Alam,Kec. Pagar Alam Selatan,SLB NEGERI PAGARALAM,17,17,2,5,4,0,0,0,2,0,4,15,4,4,5,6,8,1,5,3,2,3,2,5,4,4,2,3,2,2,8,4,11,7,8,7,8,5,0,0,26,19,8,115,65,50,15,15,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Alang-Alang Lebar,SLB AUTIS TALANG KELAPA,19,8,0,0,0,0,0,1,2,0,1,16,0,4,10,3,15,2,9,5,6,0,11,4,10,2,10,2,0,0,8,2,0,0,0,0,0,0,0,0,11,17,4,99,79,20,7,7,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Alang-Alang Lebar,SLB BINA POTENSI PALEMBANG,11,9,0,0,0,0,0,0,1,0,0,11,2,2,8,3,4,1,1,2,2,1,2,1,4,0,3,0,6,2,2,1,4,0,1,0,0,0,0,0,20,11,4,48,37,11,12,12,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Ilir Barat I,SLB AUTIS HARAPAN MANDIRI PALEMBANG,18,18,0,0,0,0,0,1,5,0,3,19,0,2,1,0,2,1,1,2,2,1,5,2,5,5,6,1,4,0,4,1,4,0,3,3,1,2,0,0,4,22,2,56,38,18,25,25,1,1,1,1,0,0,1,1,1,0,1,1,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Ilir Timur II,SLB A PRPCN PALEMBANG,13,7,1,2,1,0,3,1,1,1,2,6,0,0,4,1,1,0,1,2,1,1,1,2,1,0,2,2,2,0,1,0,0,1,1,0,1,0,0,0,9,8,0,25,16,9,13,13,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Ilir Timur II,SLB C YAYASAN 88 PALEMBANG,11,6,0,0,0,0,0,0,0,0,0,5,0,0,3,2,3,4,2,1,1,0,2,2,6,1,6,5,12,4,0,2,0,0,5,6,6,1,0,0,9,5,0,74,46,28,9,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Kemuning,SLB B KARYA IBU PALEMBANG,14,13,0,0,0,0,0,0,0,0,2,9,1,1,1,2,1,2,3,2,4,3,5,3,6,3,1,4,5,4,5,6,4,2,2,2,4,3,0,0,3,11,2,86,46,40,13,13,1,1,1,1,2,2,0,0,1,1,1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Kemuning,SLB C KARYA IBU PALEMBANG,24,18,0,0,0,0,0,0,2,0,4,11,1,2,7,2,11,9,11,8,10,3,9,8,10,3,6,5,10,6,9,8,10,6,8,5,8,3,0,0,20,15,3,175,109,66,16,14,1,1,0,0,0,0,1,1,1,1,1,1,1,0,2,4,1,1,0,0,0,0,1,1,0,0,0,0,8,6,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Kemuning,SLB SMART AURICA,4,4,1,1,0,0,1,1,2,0,0,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,2,17,11,6,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Sako,SLB B YPAC PALEMBANG,11,11,0,0,0,0,0,0,2,0,4,10,0,0,0,0,1,1,0,3,3,4,5,3,3,5,3,1,2,2,2,2,1,2,1,0,5,0,0,0,11,14,0,49,26,23,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Sako,SLB C YPAC PALEMBANG,11,11,0,0,0,0,0,1,2,0,1,9,0,1,3,0,1,1,0,0,4,0,3,2,2,1,2,2,5,3,5,2,5,1,6,0,3,2,0,0,11,10,1,53,39,14,13,13,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Sako,SLB C1 YPAC PALEMBANG,12,8,0,0,0,0,0,8,1,0,0,10,1,2,2,2,5,0,0,1,3,2,1,3,4,0,6,2,5,2,0,3,4,1,0,1,1,0,0,0,20,10,3,48,31,17,14,14,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Sako,SLB D.D1 YPAC PALEMBANG,12,7,0,0,1,0,0,1,2,1,1,4,0,2,2,3,2,0,1,0,0,1,1,1,0,2,2,2,2,1,1,1,1,0,1,1,0,1,0,0,22,5,2,26,13,13,12,12,1,1,0,0,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Seberang Ulu II,SLB C AUTIS PELITA HATI,10,6,0,0,0,0,0,1,0,0,0,7,0,1,1,0,0,1,1,0,2,0,3,1,0,0,0,1,6,0,3,0,1,0,2,0,0,0,0,0,3,7,1,22,19,3,6,6,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Palembang,Kec. Sukarami,SLB NEGERI PEMBINA PALEMBANG,82,76,1,1,4,0,0,2,5,0,20,73,13,3,25,20,11,8,23,12,27,16,20,16,37,20,35,16,25,17,11,11,25,10,14,12,18,12,0,0,18,93,16,441,271,170,80,77,1,1,1,1,0,0,1,1,1,1,1,1,1,1,12,12,1,1,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Prabumulih,Kec. Prabumulih Timur,SLB C THIAFIN MANDIRI,12,11,0,0,0,0,0,0,0,0,0,10,0,1,2,0,5,2,3,1,1,0,5,3,3,2,3,0,2,4,3,1,1,1,1,0,0,1,0,0,11,10,1,44,29,15,4,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Prabumulih,Kec. Prabumulih Timur,SLB Generasi Emas,4,0,1,1,0,0,1,1,2,1,0,5,4,1,2,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,5,14,11,3,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,11,,,,,,,,,,,,,,,,,,
Kota Prabumulih,Kec. Prabumulih Timur,SLB NEGERI PRABUMULIH,12,12,1,1,0,0,0,4,2,0,2,12,6,4,6,5,6,1,3,5,4,4,6,2,5,11,12,4,13,3,5,7,8,4,10,4,7,3,0,0,16,14,10,138,85,53,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
