kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Buru,Kec. Namlea,SLB NEGERI MARLOSO,12,2,1,0,0,0,0,0,2,0,1,3,0,1,4,4,1,1,2,2,5,2,1,2,2,3,7,4,5,1,3,2,1,1,5,4,4,0,0,0,27,4,1,66,40,26,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,1,1,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Buru Selatan,Kec. Namrole,SLB NEGERI NAMROLE,9,5,1,1,0,0,0,0,2,0,0,8,2,2,1,1,1,0,0,0,0,1,1,0,1,1,1,3,2,6,1,1,2,2,0,0,0,0,0,0,20,8,4,25,10,15,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,
Kab. Kepulauan Aru,Kec. Pulau-Pulau Aru,SLB NEGERI ARU,10,9,0,0,0,0,0,0,2,0,1,11,1,0,3,3,5,2,3,3,1,4,2,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,28,12,1,37,20,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kepulauan Tanimbar,Kec. Tanimbar Selatan,SLBS KARTINI SAUMLAKI,12,12,0,0,0,0,0,0,0,0,1,11,1,1,4,1,2,2,4,1,3,2,2,1,3,2,6,1,3,3,3,3,0,2,5,1,3,0,0,0,31,12,2,57,38,19,13,13,0,0,0,0,0,0,1,1,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Maluku Tengah,Kec. Amahai,SLB NEGERI HARURU,12,7,1,0,1,0,1,0,4,0,5,6,2,0,1,3,0,1,3,0,4,2,3,2,5,3,6,4,3,3,5,0,1,0,7,3,0,0,0,0,46,11,2,59,38,21,14,14,1,1,0,0,0,0,1,1,1,1,0,0,1,1,5,5,1,1,0,0,0,0,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Maluku Tengah,Kec. Masohi,SLB NEGERI MASOHI,12,3,1,1,1,0,1,0,2,3,3,6,0,0,3,0,0,2,7,0,1,2,4,0,1,4,3,1,1,0,2,2,1,1,1,1,2,4,0,0,14,9,0,43,26,17,12,12,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Maluku Tenggara,Kec. Kei Kecil,SLB NEGERI LANGGUR,12,10,0,0,0,0,0,1,5,0,3,7,1,1,1,1,2,2,4,1,5,3,1,4,3,0,8,2,7,3,4,2,6,5,2,5,1,2,0,0,80,10,2,74,44,30,12,12,1,1,0,0,1,1,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,1,1,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Seram Bagian Barat,Kec. Kairatu,SLB NEGERI TALABATAI,10,1,1,0,0,0,1,0,2,0,0,7,0,0,3,2,0,1,3,0,1,1,2,0,2,1,0,0,3,2,0,0,3,4,3,1,1,1,0,0,15,7,0,34,21,13,14,14,1,1,0,0,0,0,2,2,1,1,1,1,1,1,7,7,1,1,0,0,0,0,1,1,1,1,1,1,9,9,,,,,,,,,,,,,,,,,,
Kab. Seram Bagian Barat,Kec. Seram Barat,SLB NEGERI PIRU,23,9,2,1,0,0,0,0,2,0,3,16,1,0,1,5,0,0,0,0,1,2,1,0,3,0,3,3,2,4,1,3,2,5,5,1,6,4,0,0,31,19,1,52,25,27,11,11,1,1,0,0,0,0,1,1,1,1,0,0,1,1,5,5,0,0,0,0,1,1,0,0,0,0,0,0,12,12,,,,,,,,,,,,,,,,,,
Kota Ambon,Kec. Baguala,SLB NEGERI KOTA AMBON,26,11,1,2,1,0,0,0,5,0,1,18,1,1,3,1,2,0,3,0,2,4,3,2,3,2,9,9,6,3,7,4,6,1,4,0,2,1,0,0,20,19,2,77,50,27,20,20,1,1,2,2,0,0,1,1,1,1,1,1,1,1,0,0,3,3,0,0,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
