kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Banyuasin,Kec. Banyuasin III,SLBN BANYUASIN,13,13,0,0,0,0,0,2,2,0,3,13,3,4,3,2,6,1,5,2,4,1,5,7,10,2,4,5,2,4,4,3,3,5,1,2,4,1,0,0,15,16,7,86,51,35,10,10,1,1,0,0,0,0,1,1,1,1,0,0,1,1,9,9,0,0,0,0,0,0,1,1,0,1,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Banyuasin,Kec. Betung,SLB RIMBA ASAM,12,7,7,7,2,0,7,7,5,4,0,6,0,0,4,3,4,0,1,1,3,2,2,2,1,1,1,1,5,5,1,1,3,1,2,3,5,6,0,0,15,6,0,58,32,26,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Banyuasin,Kec. Rambutan,SLB OPI JAKABARING,11,11,0,0,0,0,0,0,0,0,1,6,1,2,2,0,4,3,4,1,6,4,10,3,6,4,1,3,7,3,3,0,0,1,1,1,0,0,0,0,26,7,3,67,44,23,9,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,2,2,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuasin,Kec. Talang Kelapa,SLB ADHYASTHA,9,8,0,0,0,0,0,8,8,0,1,5,1,1,5,3,5,2,1,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,6,2,23,12,11,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Empat Lawang,Kec. Tebing Tinggi,SLB Negeri  Empat Lawang,10,9,0,0,0,0,1,1,0,0,3,6,3,2,2,0,0,0,2,3,4,2,2,1,2,0,2,0,0,1,2,6,1,0,0,0,2,0,0,0,10,9,5,32,19,13,9,9,1,1,0,0,0,0,0,0,1,1,1,1,1,0,4,4,0,0,3,3,0,0,0,0,0,0,0,0,14,12,,,,,,,,,,,,,,,,,,
Kab. Lahat,Kec. Lahat,SLB NEGERI Lahat,13,13,1,0,0,0,0,0,5,0,2,13,7,2,9,6,7,1,10,5,9,1,3,4,4,3,7,1,4,4,8,2,4,4,0,7,1,2,0,0,61,15,9,106,66,40,13,13,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Muara Enim,Kec. Lawang Kidul,SLB AUTIS KARUNIA TANJUNG ENIM,11,5,0,0,0,0,0,0,0,0,1,6,0,1,0,0,7,7,2,2,2,2,3,2,2,0,4,2,2,0,1,2,2,0,1,2,0,1,0,0,12,7,1,46,26,20,11,11,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Muara Enim,Kec. Muara Enim,SLBN MUARA ENIM,12,11,0,0,0,0,0,0,2,0,2,11,3,2,6,3,2,5,4,5,5,5,1,3,5,3,2,3,6,1,1,2,5,3,5,5,5,4,0,0,19,13,5,89,47,42,12,12,1,1,0,0,0,0,0,0,1,1,0,0,1,1,4,4,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Musi Banyuasin,Kec. Sekayu,SLB NEGERI SEKAYU,19,9,1,1,1,0,1,1,3,0,3,14,7,4,11,5,14,6,5,5,6,5,9,4,13,7,15,6,20,7,11,5,6,1,2,3,2,5,0,0,36,17,11,173,114,59,13,13,1,1,1,1,0,0,1,1,1,1,0,0,0,0,7,7,2,2,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Musi Rawas,Kec. Megang Sakti,SLB TUNAS MANDIRI MUSI RAWAS,8,6,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,1,2,3,1,2,0,7,1,1,0,1,0,2,4,1,0,0,0,0,0,0,0,7,6,4,26,18,8,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
